,CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (µM),IC50 (µM),Amax,ActArea,CCLE name,Cell line primary name,Cell line aliases,Gender,Site Primary,Histology,Hist Subtype1,CCLE tumor type,CCLE tumor type 2,Notes,Source,Expression arrays,SNP arrays,Hybrid capture/Sequencing,OncoMap,Drug sensitivity profiling
2,AU565_BREAST,AU565,AZD0530,ABL,0.08,-0.22,6.19,8,Constant,,8.0,-2.102397203,0.2328,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
2,AU565_BREAST,AU565,AZD0530,ABL,0.25,13.3,29.4,8,Constant,,8.0,-2.102397203,0.2328,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
2,AU565_BREAST,AU565,AZD0530,ABL,0.8,7.72,6.78,8,Constant,,8.0,-2.102397203,0.2328,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
2,AU565_BREAST,AU565,AZD0530,ABL,2.53,-4.2,6.4,8,Constant,,8.0,-2.102397203,0.2328,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
2,AU565_BREAST,AU565,AZD0530,ABL,8.0,-15.0,18.8,8,Constant,,8.0,-2.102397203,0.2328,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
3,AU565_BREAST,AU565,AZD6244,MEK,0.008,-2.5,9.86,7,Constant,,8.0,4.667366028,0.09979,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
3,AU565_BREAST,AU565,AZD6244,MEK,0.025,-4.2,12.8,7,Constant,,8.0,4.667366028,0.09979,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
3,AU565_BREAST,AU565,AZD6244,MEK,0.08,5.97,7.65,7,Constant,,8.0,4.667366028,0.09979,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
3,AU565_BREAST,AU565,AZD6244,MEK,0.25,10.8,11.6,7,Constant,,8.0,4.667366028,0.09979,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
3,AU565_BREAST,AU565,AZD6244,MEK,0.8,15.4,15.6,7,Constant,,8.0,4.667366028,0.09979,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
3,AU565_BREAST,AU565,AZD6244,MEK,2.53,11.3,11.4,7,Constant,,8.0,4.667366028,0.09979,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
3,AU565_BREAST,AU565,AZD6244,MEK,8.0,12.4,3.05,7,Constant,,8.0,4.667366028,0.09979,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
4,AU565_BREAST,AU565,Erlotinib,EGFR,0.0025,0.21,8.54,8,Sigmoid,2.978539467,8.0,-43.89791107,0.491,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
4,AU565_BREAST,AU565,Erlotinib,EGFR,0.008,7.26,14.8,8,Sigmoid,2.978539467,8.0,-43.89791107,0.491,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
4,AU565_BREAST,AU565,Erlotinib,EGFR,0.025,-4.0,11.3,8,Sigmoid,2.978539467,8.0,-43.89791107,0.491,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
4,AU565_BREAST,AU565,Erlotinib,EGFR,0.08,14.6,16.0,8,Sigmoid,2.978539467,8.0,-43.89791107,0.491,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
4,AU565_BREAST,AU565,Erlotinib,EGFR,0.25,-0.22,11.9,8,Sigmoid,2.978539467,8.0,-43.89791107,0.491,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
4,AU565_BREAST,AU565,Erlotinib,EGFR,0.8,18.1,0.66,8,Sigmoid,2.978539467,8.0,-43.89791107,0.491,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
4,AU565_BREAST,AU565,Erlotinib,EGFR,2.53,-9.7,11.1,8,Sigmoid,2.978539467,8.0,-43.89791107,0.491,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
4,AU565_BREAST,AU565,Erlotinib,EGFR,8.0,-44.0,0.16,8,Sigmoid,2.978539467,8.0,-43.89791107,0.491,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
5,AU565_BREAST,AU565,L-685458,GS,0.0025,3.14,20.4,8,Linear,,3.060067905,-57.20409775,0.8391,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
5,AU565_BREAST,AU565,L-685458,GS,0.008,18.4,19.4,8,Linear,,3.060067905,-57.20409775,0.8391,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
5,AU565_BREAST,AU565,L-685458,GS,0.025,12.4,20.6,8,Linear,,3.060067905,-57.20409775,0.8391,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
5,AU565_BREAST,AU565,L-685458,GS,0.08,3.09,6.92,8,Linear,,3.060067905,-57.20409775,0.8391,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
5,AU565_BREAST,AU565,L-685458,GS,0.25,5.41,4.04,8,Linear,,3.060067905,-57.20409775,0.8391,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
5,AU565_BREAST,AU565,L-685458,GS,0.8,5.44,23.7,8,Linear,,3.060067905,-57.20409775,0.8391,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
5,AU565_BREAST,AU565,L-685458,GS,2.53,-37.0,44.4,8,Linear,,3.060067905,-57.20409775,0.8391,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
5,AU565_BREAST,AU565,L-685458,GS,8.0,-56.0,50.4,8,Linear,,3.060067905,-57.20409775,0.8391,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
6,AU565_BREAST,AU565,LBW242,XIAP,0.008,-11.0,8.58,7,Constant,,8.0,-8.537415504,0.7937,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
6,AU565_BREAST,AU565,LBW242,XIAP,0.025,-3.3,18.0,7,Constant,,8.0,-8.537415504,0.7937,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
6,AU565_BREAST,AU565,LBW242,XIAP,0.08,-28.0,0.82,7,Constant,,8.0,-8.537415504,0.7937,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
6,AU565_BREAST,AU565,LBW242,XIAP,0.25,3.63,11.9,7,Constant,,8.0,-8.537415504,0.7937,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
6,AU565_BREAST,AU565,LBW242,XIAP,0.8,-7.3,6.27,7,Constant,,8.0,-8.537415504,0.7937,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
6,AU565_BREAST,AU565,LBW242,XIAP,2.53,9.23,12.6,7,Constant,,8.0,-8.537415504,0.7937,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
6,AU565_BREAST,AU565,LBW242,XIAP,8.0,-36.0,3.1,7,Constant,,8.0,-8.537415504,0.7937,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
7,AU565_BREAST,AU565,Lapatinib,EGFR,0.0025,-12.0,4.76,8,Sigmoid,0.204432026,0.183209524,-95.35471344,3.5677,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
7,AU565_BREAST,AU565,Lapatinib,EGFR,0.008,-9.0,0.47,8,Sigmoid,0.204432026,0.183209524,-95.35471344,3.5677,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
7,AU565_BREAST,AU565,Lapatinib,EGFR,0.025,-15.0,5.16,8,Sigmoid,0.204432026,0.183209524,-95.35471344,3.5677,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
7,AU565_BREAST,AU565,Lapatinib,EGFR,0.08,-33.0,0.91,8,Sigmoid,0.204432026,0.183209524,-95.35471344,3.5677,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
7,AU565_BREAST,AU565,Lapatinib,EGFR,0.25,-55.0,11.9,8,Sigmoid,0.204432026,0.183209524,-95.35471344,3.5677,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
7,AU565_BREAST,AU565,Lapatinib,EGFR,0.8,-79.0,1.25,8,Sigmoid,0.204432026,0.183209524,-95.35471344,3.5677,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
7,AU565_BREAST,AU565,Lapatinib,EGFR,2.53,-90.0,0.62,8,Sigmoid,0.204432026,0.183209524,-95.35471344,3.5677,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
7,AU565_BREAST,AU565,Lapatinib,EGFR,8.0,-96.0,0.46,8,Sigmoid,0.204432026,0.183209524,-95.35471344,3.5677,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
8,AU565_BREAST,AU565,Nilotinib,ABL,0.0025,-13.0,4.34,8,Sigmoid,8.138304193,7.879194736,-52.14413452,0.873,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
8,AU565_BREAST,AU565,Nilotinib,ABL,0.008,-8.9,12.7,8,Sigmoid,8.138304193,7.879194736,-52.14413452,0.873,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
8,AU565_BREAST,AU565,Nilotinib,ABL,0.025,-9.2,13.4,8,Sigmoid,8.138304193,7.879194736,-52.14413452,0.873,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
8,AU565_BREAST,AU565,Nilotinib,ABL,0.08,-0.35,22.8,8,Sigmoid,8.138304193,7.879194736,-52.14413452,0.873,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
8,AU565_BREAST,AU565,Nilotinib,ABL,0.25,-16.0,9.47,8,Sigmoid,8.138304193,7.879194736,-52.14413452,0.873,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
8,AU565_BREAST,AU565,Nilotinib,ABL,0.8,-8.4,18.8,8,Sigmoid,8.138304193,7.879194736,-52.14413452,0.873,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
8,AU565_BREAST,AU565,Nilotinib,ABL,2.53,19.1,2.71,8,Sigmoid,8.138304193,7.879194736,-52.14413452,0.873,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
8,AU565_BREAST,AU565,Nilotinib,ABL,8.0,-52.0,4.04,8,Sigmoid,8.138304193,7.879194736,-52.14413452,0.873,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
9,AU565_BREAST,AU565,Nutlin-3,MDM2,0.0025,0.89,20.7,8,Constant,,8.0,9.145515442,0.1964,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
9,AU565_BREAST,AU565,Nutlin-3,MDM2,0.008,3.55,13.8,8,Constant,,8.0,9.145515442,0.1964,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
9,AU565_BREAST,AU565,Nutlin-3,MDM2,0.025,15.0,6.6,8,Constant,,8.0,9.145515442,0.1964,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
9,AU565_BREAST,AU565,Nutlin-3,MDM2,0.08,10.5,20.1,8,Constant,,8.0,9.145515442,0.1964,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
9,AU565_BREAST,AU565,Nutlin-3,MDM2,0.25,9.52,18.9,8,Constant,,8.0,9.145515442,0.1964,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
9,AU565_BREAST,AU565,Nutlin-3,MDM2,0.8,11.2,1.78,8,Constant,,8.0,9.145515442,0.1964,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
9,AU565_BREAST,AU565,Nutlin-3,MDM2,2.53,-20.0,12.9,8,Constant,,8.0,9.145515442,0.1964,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
9,AU565_BREAST,AU565,Nutlin-3,MDM2,8.0,1.11,10.8,8,Constant,,8.0,9.145515442,0.1964,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
10,AU565_BREAST,AU565,PD-0325901,MEK,0.0025,-1.9,5.9,8,Constant,,8.0,-1.823978543,0.04551,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
10,AU565_BREAST,AU565,PD-0325901,MEK,0.008,-5.5,0.84,8,Constant,,8.0,-1.823978543,0.04551,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
10,AU565_BREAST,AU565,PD-0325901,MEK,0.025,-8.2,4.81,8,Constant,,8.0,-1.823978543,0.04551,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
10,AU565_BREAST,AU565,PD-0325901,MEK,0.08,4.17,6.96,8,Constant,,8.0,-1.823978543,0.04551,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
10,AU565_BREAST,AU565,PD-0325901,MEK,0.25,-3.0,12.1,8,Constant,,8.0,-1.823978543,0.04551,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
10,AU565_BREAST,AU565,PD-0325901,MEK,0.8,2.21,0.58,8,Constant,,8.0,-1.823978543,0.04551,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
10,AU565_BREAST,AU565,PD-0325901,MEK,2.53,5.88,14.4,8,Constant,,8.0,-1.823978543,0.04551,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
10,AU565_BREAST,AU565,PD-0325901,MEK,8.0,9.99,19.8,8,Constant,,8.0,-1.823978543,0.04551,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
11,AU565_BREAST,AU565,PD-0332991,CDK4,0.0025,9.96,12.9,8,Sigmoid,0.992861688,7.564302444,-50.14849472,0.9007,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
11,AU565_BREAST,AU565,PD-0332991,CDK4,0.008,1.61,26.3,8,Sigmoid,0.992861688,7.564302444,-50.14849472,0.9007,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
11,AU565_BREAST,AU565,PD-0332991,CDK4,0.025,16.2,3.6,8,Sigmoid,0.992861688,7.564302444,-50.14849472,0.9007,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
11,AU565_BREAST,AU565,PD-0332991,CDK4,0.08,19.0,13.6,8,Sigmoid,0.992861688,7.564302444,-50.14849472,0.9007,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
11,AU565_BREAST,AU565,PD-0332991,CDK4,0.25,0.24,36.6,8,Sigmoid,0.992861688,7.564302444,-50.14849472,0.9007,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
11,AU565_BREAST,AU565,PD-0332991,CDK4,0.8,-13.0,6.59,8,Sigmoid,0.992861688,7.564302444,-50.14849472,0.9007,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
11,AU565_BREAST,AU565,PD-0332991,CDK4,2.53,-38.0,10.7,8,Sigmoid,0.992861688,7.564302444,-50.14849472,0.9007,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
11,AU565_BREAST,AU565,PD-0332991,CDK4,8.0,-52.0,3.34,8,Sigmoid,0.992861688,7.564302444,-50.14849472,0.9007,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
12,AU565_BREAST,AU565,PF2341066,c-MET,0.0025,-13.0,3.5,8,Sigmoid,7.183713436,8.0,-33.47408676,0.7979,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
12,AU565_BREAST,AU565,PF2341066,c-MET,0.008,-10.0,9.8,8,Sigmoid,7.183713436,8.0,-33.47408676,0.7979,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
